Indicator,Description
Rand per US Dollar,Weighted average of the banks' daily rates at approximately 10:30 am. Weights are based on the banks' foreign exchange transactions.
,
Date,Value
 2022-08-11,16.2519
 2022-08-10,16.5632
 2022-08-08,16.7056
 2022-08-05,16.5781
 2022-08-04,16.7791
 2022-08-03,16.6913
 2022-08-02,16.4792
 2022-08-01,16.487
 2022-07-29,16.5087
 2022-07-28,16.6962
 2022-07-27,16.8511
 2022-07-26,16.7122
 2022-07-25,16.8119
 2022-07-22,17.016
 2022-07-21,17.2318
 2022-07-20,17.1384
 2022-07-19,17.0267
 2022-07-18,16.9801
 2022-07-15,17.2362
 2022-07-14,17.0374
 2022-07-13,17.0117
 2022-07-12,17.1309
 2022-07-11,16.9723
 2022-07-08,16.8419
 2022-07-07,16.7918
 2022-07-06,16.6949
 2022-07-05,16.4111
 2022-07-04,16.3523
 2022-07-01,16.3482
 2022-06-30,16.2511
 2022-06-29,16.1338
 2022-06-28,15.8761
 2022-06-27,15.8247
 2022-06-24,15.9334
 2022-06-23,16.0061
 2022-06-22,16.0044
 2022-06-21,15.9199
 2022-06-20,16.0371
 2022-06-17,15.9196
 2022-06-15,16.0013
 2022-06-14,16.092
 2022-06-13,16.0474
 2022-06-10,15.4804
 2022-06-09,15.203
 2022-06-08,15.3476
 2022-06-07,15.4189
 2022-06-06,15.3608
 2022-06-03,15.4117
 2022-06-02,15.5202
 2022-06-01,15.5338
 2022-05-31,15.5455
 2022-05-30,15.5162
 2022-05-27,15.6402
 2022-05-26,15.728
 2022-05-25,15.6571
 2022-05-24,15.7668
 2022-05-23,15.8356
 2022-05-20,15.8428
 2022-05-19,16.0444
 2022-05-18,15.9475
 2022-05-17,16.047
 2022-05-16,16.2448
 2022-05-13,16.0337
 2022-05-12,16.2215
 2022-05-11,16.053
 2022-05-10,16.1257
 2022-05-09,16.1691
 2022-05-06,16.0525
 2022-05-05,15.6313
 2022-05-04,15.8516
 2022-05-03,16.0312
 2022-04-29,15.8889
 2022-04-28,15.8762
 2022-04-26,15.7413
 2022-04-25,15.641
 2022-04-22,15.4949
 2022-04-21,15.1976
 2022-04-20,15.0687
 2022-04-19,14.7084
 2022-04-14,14.6483
 2022-04-13,14.456
 2022-04-12,14.5524
